# Setpoints,Voltages
0.000000000000000000e+00,3.103276999999999772e-03
1.000000000000000000e+00,3.864174999999999641e-03
2.000000000000000000e+00,4.641138999999998987e-03
3.000000000000000000e+00,5.402875500000000296e-03
4.000000000000000000e+00,6.170614999999999954e-03
5.000000000000000000e+00,6.935610000000000039e-03
6.000000000000000000e+00,7.704422499999999570e-03
7.000000000000000000e+00,8.474920000000000370e-03
8.000000000000000000e+00,9.247023999999999522e-03
9.000000000000000000e+00,1.000316300000000068e-02
1.000000000000000000e+01,1.078122500000000018e-02
1.100000000000000000e+01,1.154308999999999891e-02
1.200000000000000000e+01,1.230596500000000031e-02
1.300000000000000000e+01,1.307798500000000030e-02
1.400000000000000000e+01,1.382096999999999840e-02
1.500000000000000000e+01,1.457687499999999955e-02
1.600000000000000000e+01,1.534136999999999827e-02
1.700000000000000000e+01,1.612330000000000013e-02
1.800000000000000000e+01,1.689157000000000158e-02
1.900000000000000000e+01,1.766136499999999832e-02
2.000000000000000000e+01,1.843305500000000027e-02
2.100000000000000000e+01,1.917862500000000123e-02
2.200000000000000000e+01,1.996399999999999911e-02
2.300000000000000000e+01,2.072871000000000088e-02
2.400000000000000000e+01,2.149558999999999845e-02
2.500000000000000000e+01,2.227694000000000202e-02
2.600000000000000000e+01,2.305317000000000130e-02
2.700000000000000000e+01,2.381319000000000144e-02
2.800000000000000000e+01,2.457113500000000089e-02
2.900000000000000000e+01,2.534282999999999328e-02
3.000000000000000000e+01,2.611679500000000514e-02
3.100000000000000000e+01,2.686308999999999919e-02
3.200000000000000000e+01,2.766582499999999806e-02
3.300000000000000000e+01,2.841476999999999892e-02
3.400000000000000000e+01,2.919429500000000205e-02
3.500000000000000000e+01,2.995227000000000306e-02
3.600000000000000000e+01,3.071189999999999684e-02
3.700000000000000000e+01,3.147518500000000274e-02
3.800000000000000000e+01,3.224893000000000204e-02
3.900000000000000000e+01,3.302920999999999635e-02
4.000000000000000000e+01,3.380235499999999227e-02
4.100000000000000000e+01,3.456816999999999529e-02
4.200000000000000000e+01,3.534382000000000495e-02
4.300000000000000000e+01,3.609587499999999949e-02
4.400000000000000000e+01,3.687463500000000283e-02
4.500000000000000000e+01,3.762796999999999670e-02
4.600000000000000000e+01,3.839796499999999918e-02
4.700000000000000000e+01,3.917248499999999301e-02
4.800000000000000000e+01,3.996013999999999816e-02
4.900000000000000000e+01,4.070445999999999093e-02
5.000000000000000000e+01,4.148523499999999531e-02
5.100000000000000000e+01,4.226968499999999435e-02
5.200000000000000000e+01,4.305794999999999761e-02
5.300000000000000000e+01,4.382831999999999700e-02
5.400000000000000000e+01,4.459425999999999668e-02
5.500000000000000000e+01,4.538743999999999418e-02
5.600000000000000000e+01,4.613722499999999699e-02
5.700000000000000000e+01,4.692679999999999768e-02
5.800000000000000000e+01,4.766954999999999110e-02
5.900000000000000000e+01,4.840871000000000757e-02
6.000000000000000000e+01,4.918254500000000112e-02
6.100000000000000000e+01,4.993904500000000135e-02
6.200000000000000000e+01,5.071889999999999732e-02
6.300000000000000000e+01,5.148876499999999190e-02
6.400000000000000000e+01,5.229135999999999507e-02
6.500000000000000000e+01,5.310152999999999401e-02
6.600000000000000000e+01,5.392096999999999862e-02
6.700000000000000000e+01,5.470938499999999927e-02
6.800000000000000000e+01,5.551192000000000626e-02
