# Setpoints,Voltages
0.000000000000000000e+00,1.185681500000000015e-03
1.000000000000000000e+00,1.184668500000000003e-03
2.000000000000000000e+00,1.182602999999999953e-03
3.000000000000000000e+00,1.176506500000000077e-03
4.000000000000000000e+00,1.179006499999999975e-03
5.000000000000000000e+00,1.181721500000000114e-03
6.000000000000000000e+00,1.183837500000000254e-03
7.000000000000000000e+00,1.323111499999999816e-03
8.000000000000000000e+00,2.164003500000000017e-03
9.000000000000000000e+00,3.000198500000000098e-03
1.000000000000000000e+01,3.809970000000000197e-03
1.100000000000000000e+01,4.643983499999999702e-03
1.200000000000000000e+01,5.453053000000000240e-03
1.300000000000000000e+01,6.264692999999999998e-03
1.400000000000000000e+01,7.093416499999999694e-03
1.500000000000000000e+01,7.909986499999997062e-03
1.600000000000000000e+01,8.749416499999999181e-03
1.700000000000000000e+01,9.548125500000000793e-03
1.800000000000000000e+01,1.036291000000000122e-02
1.900000000000000000e+01,1.118775999999999972e-02
2.000000000000000000e+01,1.200749000000000087e-02
2.100000000000000000e+01,1.282597499999999988e-02
2.200000000000000000e+01,1.363861999999999887e-02
2.300000000000000000e+01,1.446372500000000019e-02
2.400000000000000000e+01,1.530772500000000293e-02
2.500000000000000000e+01,1.613931500000000130e-02
2.600000000000000000e+01,1.696020000000000166e-02
2.700000000000000000e+01,1.775928000000000229e-02
2.800000000000000000e+01,1.859010500000000260e-02
2.900000000000000000e+01,1.941036999999999971e-02
3.000000000000000000e+01,2.022582999999999673e-02
3.100000000000000000e+01,2.104534999999999739e-02
3.200000000000000000e+01,2.189131500000000147e-02
3.300000000000000000e+01,2.272570000000000146e-02
3.400000000000000000e+01,2.356128000000000042e-02
3.500000000000000000e+01,2.436487000000000028e-02
3.600000000000000000e+01,2.519366500000000397e-02
3.700000000000000000e+01,2.601343000000000405e-02
3.800000000000000000e+01,2.685917499999999555e-02
3.900000000000000000e+01,2.767783000000000396e-02
4.000000000000000000e+01,2.851846500000000326e-02
4.100000000000000000e+01,2.932665500000000008e-02
4.200000000000000000e+01,3.015587500000000559e-02
4.300000000000000000e+01,3.095816000000000193e-02
4.400000000000000000e+01,3.178211000000000230e-02
4.500000000000000000e+01,3.259080500000000741e-02
4.600000000000000000e+01,3.340343499999999521e-02
4.700000000000000000e+01,3.422879000000000199e-02
4.800000000000000000e+01,3.505926999999999655e-02
4.900000000000000000e+01,3.589404000000000206e-02
5.000000000000000000e+01,3.673862000000000655e-02
5.100000000000000000e+01,3.754216499999999540e-02
5.200000000000000000e+01,3.837296499999999499e-02
5.300000000000000000e+01,3.918497999999999426e-02
5.400000000000000000e+01,4.000373999999999597e-02
5.500000000000000000e+01,4.083378499999999744e-02
5.600000000000000000e+01,4.169272499999999992e-02
5.700000000000000000e+01,4.253111499999999434e-02
5.800000000000000000e+01,4.335401499999999575e-02
5.900000000000000000e+01,4.417315500000000561e-02
6.000000000000000000e+01,4.500895500000000327e-02
6.100000000000000000e+01,4.583336000000000354e-02
6.200000000000000000e+01,4.666558500000000248e-02
6.300000000000000000e+01,4.749368500000000770e-02
6.400000000000000000e+01,4.833077999999999680e-02
6.500000000000000000e+01,4.910111500000000073e-02
6.600000000000000000e+01,4.988626000000000171e-02
6.700000000000000000e+01,5.066971999999999449e-02
6.800000000000000000e+01,5.145420000000000549e-02
6.900000000000000000e+01,5.221377000000000657e-02
7.000000000000000000e+01,5.301308999999999882e-02
7.100000000000000000e+01,5.379024499999999348e-02
7.200000000000000000e+01,5.456910000000000233e-02
7.300000000000000000e+01,5.540632999999998975e-02
7.400000000000000000e+01,5.618437000000001819e-02
7.500000000000000000e+01,5.695944999999998787e-02
7.600000000000000000e+01,5.773799999999999766e-02
7.700000000000000000e+01,5.851256500000000249e-02
7.800000000000000000e+01,5.928999499999999812e-02
7.900000000000000000e+01,6.007195999999999370e-02
8.000000000000000000e+01,6.087062000000000028e-02
8.100000000000000000e+01,6.165307999999999206e-02
8.200000000000000000e+01,6.243656499999999943e-02
8.300000000000000000e+01,6.321254000000001150e-02
8.400000000000000000e+01,6.397937500000000499e-02
8.500000000000000000e+01,6.475888500000001602e-02
8.600000000000000000e+01,6.550410500000000691e-02
8.700000000000000000e+01,6.629468999999998946e-02
8.800000000000000000e+01,6.706373000000000195e-02
8.900000000000000000e+01,6.787343000000001236e-02
9.000000000000000000e+01,6.864993499999999527e-02
9.100000000000000000e+01,6.942952999999998931e-02
9.200000000000000000e+01,7.021500999999999437e-02
9.300000000000000000e+01,7.097413499999999376e-02
9.400000000000000000e+01,7.176630999999999982e-02
9.500000000000000000e+01,7.254251999999998535e-02
9.600000000000000000e+01,7.333696000000002047e-02
9.700000000000000000e+01,7.415431499999999843e-02
9.800000000000000000e+01,7.491602500000001108e-02
9.900000000000000000e+01,7.567963000000001161e-02
1.000000000000000000e+02,7.648137499999999034e-02
1.010000000000000000e+02,7.722412000000000720e-02
1.020000000000000000e+02,7.800393000000001298e-02
1.030000000000000000e+02,7.878109499999999543e-02
1.040000000000000000e+02,7.957652500000000906e-02
1.050000000000000000e+02,8.037563999999999820e-02
1.060000000000000000e+02,8.117454500000000073e-02
1.070000000000000000e+02,8.193387000000000586e-02
1.080000000000000000e+02,8.271183499999999744e-02
1.090000000000000000e+02,8.349504999999998733e-02
1.100000000000000000e+02,8.428336999999999635e-02
1.110000000000000000e+02,8.504940999999999196e-02
1.120000000000000000e+02,8.583070499999999325e-02
1.130000000000000000e+02,8.660201000000000704e-02
1.140000000000000000e+02,8.735689999999998734e-02
1.150000000000000000e+02,8.816408500000001702e-02
1.160000000000000000e+02,8.892342000000000302e-02
1.170000000000000000e+02,8.969631500000001256e-02
1.180000000000000000e+02,9.048513999999999169e-02
1.190000000000000000e+02,9.124287999999999843e-02
1.200000000000000000e+02,9.204113999999999352e-02
1.210000000000000000e+02,9.285945999999999090e-02
1.220000000000000000e+02,9.362020000000001452e-02
1.230000000000000000e+02,9.442282500000000189e-02
1.240000000000000000e+02,9.517926500000001289e-02
1.250000000000000000e+02,9.594570999999998961e-02
1.260000000000000000e+02,9.674333500000001362e-02
1.270000000000000000e+02,9.749560500000001295e-02
1.280000000000000000e+02,9.833292500000000158e-02
1.290000000000000000e+02,9.913184999999999358e-02
1.300000000000000000e+02,9.991259999999999031e-02
1.310000000000000000e+02,1.006951000000000096e-01
1.320000000000000000e+02,1.014707499999999846e-01
1.330000000000000000e+02,1.022549499999999972e-01
1.340000000000000000e+02,1.030395500000000075e-01
1.350000000000000000e+02,1.038309500000000052e-01
1.360000000000000000e+02,1.046351999999999977e-01
1.370000000000000000e+02,1.054025000000000239e-01
1.380000000000000000e+02,1.061827500000000202e-01
1.390000000000000000e+02,1.069850999999999858e-01
1.400000000000000000e+02,1.077494999999999842e-01
1.410000000000000000e+02,1.085481499999999960e-01
1.420000000000000000e+02,1.093303500000000206e-01
1.430000000000000000e+02,1.101112000000000063e-01
1.440000000000000000e+02,1.108841999999999883e-01
1.450000000000000000e+02,1.116703500000000016e-01
1.460000000000000000e+02,1.124600500000000058e-01
1.470000000000000000e+02,1.132314000000000098e-01
1.480000000000000000e+02,1.139878500000000017e-01
1.490000000000000000e+02,1.147852000000000039e-01
1.500000000000000000e+02,1.155344999999999844e-01
1.510000000000000000e+02,1.163333500000000020e-01
1.520000000000000000e+02,1.171335500000000029e-01
1.530000000000000000e+02,1.179241000000000178e-01
1.540000000000000000e+02,1.187240499999999976e-01
1.550000000000000000e+02,1.195036500000000029e-01
1.560000000000000000e+02,1.202674500000000118e-01
1.570000000000000000e+02,1.210674500000000070e-01
1.580000000000000000e+02,1.218563500000000160e-01
1.590000000000000000e+02,1.226328499999999877e-01
1.600000000000000000e+02,1.234438500000000216e-01
1.610000000000000000e+02,1.242090000000000138e-01
1.620000000000000000e+02,1.249884000000000273e-01
1.630000000000000000e+02,1.257806999999999953e-01
1.640000000000000000e+02,1.265749000000000180e-01
1.650000000000000000e+02,1.273354000000000152e-01
1.660000000000000000e+02,1.281185000000000240e-01
1.670000000000000000e+02,1.289123499999999811e-01
1.680000000000000000e+02,1.297221000000000068e-01
1.690000000000000000e+02,1.305142499999999983e-01
1.700000000000000000e+02,1.312981999999999760e-01
1.710000000000000000e+02,1.320610999999999868e-01
1.720000000000000000e+02,1.328400999999999887e-01
1.730000000000000000e+02,1.335985500000000104e-01
1.740000000000000000e+02,1.344006000000000089e-01
1.750000000000000000e+02,1.351593000000000100e-01
